index,corp_code,corp_name,corp_eng_name,stock_code,modify_date
81921,01345724,타임기술,TIME Technical Support. ltd,318660,
81927,00165361,휴코드홀딩스,"Hucord Co., Ltd.",036840,
81940,00105606,금호에이치티,"Kumho HT, Inc.",214330,
81941,00133618,세기상사,"THE CENTURY CO.,LTD",002420,
81970,01142075,핑거,Finger Inc.,163730,
81995,00201742,유라테크,"YURA TECH. CO., LTD.",048430,
82002,00359261,빛샘전자,"VISSEM Electronics Co., Ltd.",072950,
82089,00133812,세방,"SEBANG CO., LTD",004360,
82130,00666064,셀바스AI,SELVAS AI Inc.,108860,
82163,00608839,에이루트,"Aroot Co., Ltd.",096690,
82164,01018802,엔솔바이오사이언스,Ensol Biosciences Inc.,140610,
82165,00540571,엘디티,LDTInc.,096870,
82166,00202839,한창산업,"HanchangIndustryCo.,Ltd.",079170,
82167,00367871,인바이오,"ENBIOCO., LTD.",352940,
82168,01051092,피씨엘,PCL. Inc,241820,
82169,00123772,부국증권,"BOOKOOK SECURITIES CO.,LTD",001270,
82264,00400060,이씨에스,"ECSTELECOMCo.,Ltd.",067010,
82287,00158112,한국수출포장공업,"KOREA EXPORT PACKAGING INDUSTRIAL CO.,LTD",002200,
82367,01397620,루닛,Lunit Inc.,328130,
82380,00599106,네오리진,"NEORIGIN Co., Ltd.",094860,
82381,00139083,아진산업,"A-JIN INDUSTRY CO.,LTD",013310,
82382,00163196,한일철강,"HANIL IRON & STEEL CO.,LTD",002220,
82392,00108135,녹십자홀딩스,Green Cross Holdings,005250,
82426,00109718,사조대림,SAJODAERIM CORPORATION,003960,
82432,00994994,나노,"NANO. Co., Ltd.",187790,
